name,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ
IMU24,1695914601491000000,9.512163162231445,0.5315127968788147,-0.21308395266532898,25.0625,1.4375,1.4375,-71.4000015258789,-28.8799991607666,-61.53845977783203
IMU24,1695914601589000000,9.639056205749512,0.47405192255973816,-0.45010989904403687,33.75,1.4375,1.5,-71.19999694824219,-27.600000381469727,-60.846153259277344
IMU24,1695914601687000000,9.464279174804688,0.3998316824436188,-0.3280056416988373,41.8125,1.875,2.0625,-71.12000274658203,-26.360000610351562,-59.69230651855469
IMU24,1695914601784000000,9.617507934570312,0.5602431893348694,-0.13168108463287354,49.5,2.125,2.875,-71.16000366210938,-24.520000457763672,-57.61538314819336
IMU24,1695914601881000000,9.232041358947754,0.38546645641326904,-0.22744916379451752,57.875,1.9375,2.75,-71.08000183105469,-22.200000762939453,-55.53845977783203
IMU24,1695914601979000000,9.210494041442871,0.20111294090747833,-0.5985504388809204,65.6875,1.9375,3.0625,-71,-19.040000915527344,-53.769229888916016
IMU24,1695914602076000000,9.818620681762695,0.6129156351089478,-0.20111294090747833,74,1.6875,3.75,-70.95999908447266,-15.880000114440918,-52.46154022216797
IMU24,1695914602174000000,9.730035781860352,0.42856210470199585,0.004788403399288654,81.125,1.25,4.4375,-70.76000213623047,-11.880000114440918,-51
IMU24,1695914602271000000,9.744400978088379,0.28730419278144836,-0.181959331035614,81.5,0.375,4.4375,-69.95999908447266,-7.800000190734863,-50.38461685180664
IMU24,1695914602418000000,9.14345645904541,0.5339069962501526,-0.023942016065120697,81.1875,-0.4375,4.625,-69.27999877929688,-2.119999885559082,-50.846153259277344
IMU24,1695914602515000000,10.182539939880371,0.07422025501728058,0.2992752194404602,81.3125,-1.4375,4.875,-69.04000091552734,2.7200000286102295,-51.769229888916016
IMU24,1695914602613000000,9.308655738830566,-0.1388636976480484,0.6727706789970398,75.125,-1.6875,4.1875,-68.31999969482422,7.079999923706055,-55.153846740722656
IMU24,1695914602711000000,10.268731117248535,-0.31603461503982544,0.7254431247711182,66.5625,-2.625,3.5,-67.16000366210938,11.4399995803833,-58.153846740722656
IMU24,1695914602808000000,9.77791976928711,-0.12210428714752197,0.7230489253997803,58.3125,-2.375,3.6875,-66.72000122070312,14.800000190734863,-62.07692337036133
IMU24,1695914602905000000,10.352527618408203,-0.5410895943641663,0.37828385829925537,50.875,-2.8125,3.0625,-66.36000061035156,17.440000534057617,-65.15384674072266
IMU24,1695914603003000000,9.86889934539795,-0.4213795065879822,0.6967126727104187,42.75,-2.4375,1.8125,-66.08000183105469,19.8799991607666,-70.07691955566406
IMU24,1695914603100000000,9.840168952941895,-0.507570743560791,0.5051765441894531,34.8125,-2.25,1.875,-65.72000122070312,21.440000534057617,-73.07691955566406
IMU24,1695914603198000000,9.873687744140625,-0.42377370595932007,0.45489832758903503,26.375,-1.75,1.3125,-65.27999877929688,23.15999984741211,-75.61538696289062
IMU24,1695914603295000000,9.799467086791992,-0.6344634294509888,0.529118537902832,18.3125,-1.125,1,-64.87999725341797,23.959999084472656,-78
IMU24,1695914603393000000,9.926360130310059,-0.5985504388809204,0.5554547905921936,10.125,-0.625,0.5,-64.83999633789062,24.520000457763672,-79.92308044433594
IMU24,1695914603490000000,9.883264541625977,-0.5578489899635315,0.0071826050989329815,1.9375,-0.0625,0.125,-65.12000274658203,24.959999084472656,-80.30769348144531
IMU24,1695914603588000000,10.113107681274414,-0.5674257874488831,0.004788403399288654,1.375,-0.4375,-0.75,-65,25.399999618530273,-81
IMU24,1695914603685000000,10.223240852355957,-0.5363011956214905,0.004788403399288654,2.75,-0.0625,-0.3125,-65,25.200000762939453,-80.84615325927734
IMU24,1695914603783000000,10.017339706420898,-0.38786065578460693,-0.11252747476100922,4.5625,-0.3125,-1.0625,-66.16000366210938,26.040000915527344,-80.61538696289062
